,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
3801406,2.01506140436e+13,-77.00084,39.07606,KCCX,N6,120,157,0,20,0.5
3801409,2.01506140436e+13,-77.01925,39.08916,KADW,U0,25,341,0,40,0.5
3801492,2.01506140438e+13,-77.008,39.06979,KAKQ,T1,125,0,-999,-999,-999.0
3801535,2.01506140439e+13,-76.99339,39.07459,KBWI,P0,17,267,0,20,0.5
3801624,2.0150614044e+13,-77.00084,39.07606,KCCX,N6,120,157,0,40,0.5
3801647,2.01506140441e+13,-76.99037,39.07515,KDCA,L1,19,356,0,20,0.5
3801702,2.01506140442e+13,-76.96134,39.06946,KAKQ,T1,125,1,-999,-999,-999.0
3801726,2.01506140442e+13,-76.97797,39.08161,KADW,U0,24,345,0,30,0.5
3801857,2.01506140444e+13,-76.95107,39.07429,KCCX,N6,121,156,0,20,0.5
3801902,2.01506140446e+13,-76.96134,39.06946,KAKQ,T1,125,1,-999,-999,-999.0
3802105,2.0150614045e+13,-76.96134,39.06946,KAKQ,T1,125,1,-999,-999,-999.0
3802256,2.01506140453e+13,-76.99271,39.06062,KCCX,N6,121,157,0,20,0.5
3802273,2.01506140453e+13,-76.91469,39.06848,KAKQ,T1,125,2,-999,-999,-999.0
3803811,2.01506140529e+13,-76.91699,39.01844,KAKQ,X1,122,2,0,20,0.5
3803871,2.0150614053e+13,-77.16617,39.18501,KADW,J3,33,333,0,70,0.5
3803992,2.01506140533e+13,-77.15484,39.16685,KAKQ,L1,131,357,-999,-999,-999.0
3803996,2.01506140533e+13,-77.15418,39.17552,KBWI,E2,25,282,0,40,0.5
3804045,2.01506140535e+13,-77.15044,39.18467,KDCA,C5,27,341,0,20,0.5
3805423,2.01506140614e+13,-77.008,39.22001,KAKQ,W0,134,360,-999,-999,-999.0
3805529,2.01506140617e+13,-77.008,39.20332,KAKQ,W0,133,0,-999,-999,-999.0
3805649,2.01506140621e+13,-76.95826,39.20297,KAKQ,W0,133,1,-999,-999,-999.0
3835456,2.01506142014e+13,-77.39816,39.23375,KLWX,W2,16,15,0,20,0.5
3835786,2.01506142016e+13,-77.38145,39.24658,KDIX,J0,144,254,-999,-999,-999.0
3835918,2.01506142017e+13,-77.3633,39.23596,KAKQ,L2,136,353,-999,-999,-999.0
3835949,2.01506142017e+13,-77.37881,39.24219,KDOX,Y0,94,286,0,30,0.5
3836140,2.01506142019e+13,-77.37526,39.22828,KLWX,W2,16,19,0,30,0.5
3836570,2.01506142022e+13,-77.36061,39.2194,KAKQ,L2,135,353,-999,-999,-999.0
3836598,2.01506142022e+13,-77.36984,39.22846,KDCA,K0,34,326,0,20,0.5
3836610,2.01506142022e+13,-77.35806,39.23793,KDOX,Y0,93,286,0,40,0.5
3836791,2.01506142023e+13,-77.34449,39.23693,KLWX,W2,17,23,0,50,0.5
